"Freq [GHz]","dB(St(Feed_thick_T1,Feed_thick_T1)) []"
26.53375,-0.544659590219124
26.6335,-0.522160660539688
26.73325,-0.502107633135639
26.833,-0.48433540830723
26.93275,-0.468670204371749
27.0325,-0.454939450941994
27.13225,-0.442977856993857
27.232,-0.432630823450842
27.33175,-0.423756069371208
27.4315,-0.416224095605076
27.53125,-0.409917922650095
27.631,-0.404732401345008
27.73075,-0.400573296748883
27.8305,-0.397356275960931
27.93025,-0.395005883449341
28.03,-0.393454555137066
28.12975,-0.39264170116409
28.2295,-0.392512873139597
28.32925,-0.393019023184329
28.429,-0.394115855620745
28.52875,-0.395763270081196
28.6285,-0.397924891536013
28.72825,-0.400567682775488
28.828,-0.403661633732886
28.92775,-0.407179522519145
29.0275,-0.411096742011859
29.12725,-0.415391187119843
29.227,-0.420043197215036
29.32675,-0.425035548626532
29.4265,-0.430353492359439
29.52625,-0.435984831795277
29.626,-0.441920037077201
29.72575,-0.448152391195445
29.8255,-0.454678164676704
29.92525,-0.461496816403795
30.025,-0.468611218031508
30.12475,-0.476027901329995
30.2245,-0.483757328352937
30.32425,-0.491814185817194
30.424,-0.500217706680119
30.52375,-0.508992022847651
30.6235,-0.518166555843478
30.72325,-0.527776452698319
30.823,-0.537863078591876
30.92275,-0.548474577803765
31.0225,-0.5596665194511
31.12225,-0.571502645940595
31.222,-0.584055747656345
31.32175,-0.59740868965713
31.4215,-0.611655623250695
31.52125,-0.626903421032287
31.621,-0.6432733814586
31.72075,-0.660903260627459
31.8205,-0.679949698844947
31.92025,-0.700591127391234
32.02,-0.723031259134514
32.11975,-0.747503292394605
32.2195,-0.774274988931947
32.31925,-0.803654828039898
32.419,-0.835999491183993
32.51875,-0.871722999723435
32.6185,-0.911307916409766
32.71825,-0.955319136908244
32.818,-1.00442094839612
32.91775,-1.059398231913
33.0175,-1.12118294981349
33.11725,-1.19088740990631
33.217,-1.26984627433344
33.31675,-1.35966991336678
33.4165,-1.46231257465197
33.51625,-1.58016002184893
33.616,-1.71614293777217
33.71575,-1.87388468144798
33.8155,-2.05789525156022
33.91525,-2.27382804773301
34.015,-2.52882310853649
34.11475,-2.83197152763844
34.2145,-3.1949537774898
34.31425,-3.63293600084108
34.414,-4.16586661487371
34.51375,-4.82043199846253
34.6135,-5.6331800549542
34.71325,-6.6558999424117
34.813,-7.96581378998618
34.91275,-9.68730726526667
35.0125,-12.04588255565
35.11225,-15.5346346083853
35.212,-21.6446718112392
35.31175,-30.8545029732439
35.4115,-19.930132849812
35.51125,-14.7283519088111
35.611,-11.6155596596738
35.71075,-9.47234295675527
35.8105,-7.89327171168947
35.91025,-6.68370079240251
36.01,-5.73343733796452
36.10975,-4.9732182161308
36.2095,-4.3563950972677
36.30925,-3.85004878315601
36.409,-3.43018184672331
36.50875,-3.07888577618599
36.6085,-2.78255722307572
36.70825,-2.53071677839474
36.808,-2.31519665623898
36.90775,-2.12956606656446
37.0075,-1.96871591803427
37.10725,-1.82855361172866
37.207,-1.70577569332508
37.30675,-1.59769657544961
37.4065,-1.50211823011178
37.50625,-1.41723017936584
37.606,-1.34153212366118
37.70575,-1.27377363800676
37.8055,-1.21290684237677
37.90525,-1.15804900901065
38.005,-1.10845283450098
38.10475,-1.06348266313765
38.2045,-1.02259536077722
38.30425,-0.985324844563052
38.404,-0.951269503450039
38.50375,-0.920081917120784
38.6035,-0.89146041248673
38.70325,-0.865142096477866
38.803,-0.84089708117951
38.90275,-0.818523676360571
39.0025,-0.797844370380999
39.10225,-0.778702457374416
39.202,-0.760959194670047
39.30175,-0.744491399249457
39.4015,-0.729189407455807
39.50125,-0.714955337319638
39.601,-0.701701603615245
39.70075,-0.689349644897818
39.8005,-0.677828828698122
39.90025,-0.667075507409576
40,-0.657032201602431
