"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
35,-174,70,0.889864594544784
35,-174,72,0.824207653951166
35,-174,74,0.763265092076181
35,-174,76,0.706808108159355
35,-174,78,0.654607809332859
35,-174,80,0.606437569594426
35,-174,82,0.562074841776324
35,-174,84,0.521302477673546
35,-174,86,0.483909612292716
35,-174,88,0.449692168153265
35,-174,90,0.418453035082171
35,-174,92,0.390001980278971
35,-174,94,0.36415534278459
35,-174,96,0.340735565965455
35,-174,98,0.319570621223502
35,-174,100,0.300493375762825
35,-174,102,0.283340956689849
35,-174,104,0.267954162717152
35,-174,106,0.254176972937359
35,-174,108,0.241856199150492
35,-174,110,0.230841323678915
35,-174,112,0.220984558139028
35,-174,114,0.212141149992136
35,-174,116,0.204169952734485
35,-174,118,0.196934262353729
35,-174,120,0.190302907440493
35,-174,122,0.184151563610895
35,-174,124,0.178364245437174
35,-174,126,0.1728349119094
35,-174,128,0.167469105772225
35,-174,130,0.162185534235244
35,-174,132,0.156917489909162
35,-174,134,0.151614007640852
35,-174,136,0.14624065624107
35,-174,138,0.140779874576814
35,-174,140,0.135230779295359
35,-174,142,0.129608396128382
35,-174,144,0.123942297229466
35,-174,146,0.11827466164954
35,-174,148,0.112657812645449
35,-174,150,0.107151321458865
35,-174,152,0.101818799730302
35,-174,154,0.0967245291207293
35,-174,156,0.0919300946071496
35,-174,158,0.087491195451624
35,-174,160,0.0834548039114006
35,-174,162,0.0798568261333156
35,-174,164,0.0767203930636606
35,-174,166,0.0740548732159749
35,-174,168,0.0718556561799714
35,-174,170,0.0701047088434855
35,-174,172,0.0687718588258561
35,-174,174,0.0678167150694568
35,-174,176,0.0671910971942447
35,-174,178,0.0668418159033843
35,-174,180,0.0667136285396421
35,-172,0,4.82413308903292
35,-172,2,4.82340751484833
35,-172,4,4.80405795692571
35,-172,6,4.76648190243864
35,-172,8,4.7113222823493
35,-172,10,4.639448189215
35,-172,12,4.55193031929805
35,-172,14,4.45001215855075
35,-172,16,4.33507805446881
35,-172,18,4.20861937941398
35,-172,20,4.07219999531443
35,-172,22,3.92742217762019
35,-172,24,3.77589405416736
35,-172,26,3.61919947104602
35,-172,28,3.45887102354645
35,-172,30,3.29636679782471
35,-172,32,3.13305117036157
35,-172,34,2.97017981917729
35,-172,36,2.80888892317369
35,-172,38,2.65018837182013
35,-172,40,2.49495868205879
35,-172,42,2.34395122551508
35,-172,44,2.19779130710974
35,-172,46,2.05698360410716
35,-172,48,1.92191946901108
35,-172,50,1.79288561600234
35,-172,52,1.67007374378494
35,-172,54,1.55359069274839
35,-172,56,1.44346878662746
35,-172,58,1.33967606433473
35,-172,60,1.24212616310927
35,-172,62,1.1506876671064
35,-172,64,1.06519278433327
35,-172,66,0.985445258341006
35,-172,68,0.911227458779401
35,-172,70,0.842306626674582
35,-172,72,0.77844027628043
35,-172,74,0.719380775967993
35,-172,76,0.664879146381471
35,-172,78,0.614688125616898
35,-172,80,0.568564559124386
35,-172,82,0.526271177060297
35,-172,84,0.487577824567138
35,-172,86,0.452262211540552
35,-172,88,0.420110248395996
35,-172,90,0.39091603363262
35,-172,92,0.364481557970023
35,-172,94,0.340616188754606
35,-172,96,0.31913599732406
35,-172,98,0.299862991084142
35,-172,100,0.282624311071381
35,-172,102,0.26725145451683
35,-172,104,0.253579580063646
35,-172,106,0.241446950432453
35,-172,108,0.230694563048737
35,-172,110,0.221166013032018
35,-172,112,0.212707624642005
35,-172,114,0.205168876537127
35,-172,116,0.198403132942026
35,-172,118,0.192268677168049
35,-172,120,0.186630026257277
35,-172,122,0.181359486470595
35,-172,124,0.176338889834162
35,-172,126,0.171461433170751
35,-172,128,0.166633524351148
35,-172,130,0.161776527404335
35,-172,132,0.156828290129612
35,-172,134,0.151744336332792
35,-172,136,0.146498610850083
35,-172,138,0.141083679772275
35,-172,140,0.13551031080244
35,-172,142,0.129806388851888
35,-172,144,0.12401515844965
35,-172,146,0.118192825250386
35,-172,148,0.112405591208778
35,-172,150,0.106726238754551
35,-172,152,0.101230415281825
35,-172,154,0.0959927973031778
35,-172,156,0.0910833309755232
35,-172,158,0.0865637503532116
35,-172,160,0.0824845655802766
35,-172,162,0.0788826903167298
35,-172,164,0.0757798421781307
35,-172,166,0.0731818041287318
35,-172,168,0.071078581817459
35,-172,170,0.0694454356699788
35,-172,172,0.0682447113814868
35,-172,174,0.067428342501226
35,-172,176,0.066940857870502
35,-172,178,0.0667226978427759
35,-172,180,0.0667136285396422
35,-170,0,4.82413308903292
35,-170,2,4.82397986097067
35,-170,4,4.80474262200665
35,-170,6,4.7668015756058
35,-170,8,4.71079571758939
35,-170,10,4.63760339896844
35,-170,12,4.54831715719555
35,-170,14,4.4442138801512
35,-170,16,4.32672150503937
35,-170,18,4.19738352949298
35,-170,20,4.05782262380333
35,-170,22,3.90970458419934
35,-170,24,3.75470376385162
35,-170,26,3.59447097002232
35,-170,28,3.43060463398228
35,-170,30,3.26462585772362
35,-170,32,3.0979577311609
35,-170,34,2.93190910779124
35,-170,36,2.76766283645454
35,-170,38,2.60626828042398
35,-170,40,2.44863781843348
35,-170,42,2.29554691850712
35,-170,44,2.14763730508159
35,-170,46,2.00542270116458
35,-170,48,1.86929661671144
35,-170,50,1.73954166748188
35,-170,52,1.61633994027543
35,-170,54,1.49978396551332
35,-170,56,1.38988791185019
35,-170,58,1.28659867566676
35,-170,60,1.18980659744402
35,-170,62,1.09935559444022
35,-170,64,1.01505255279307
35,-170,66,0.936675870803307
35,-170,68,0.863983087915443
35,-170,70,0.796717570430651
35,-170,72,0.734614255248002
35,-170,74,0.677404477182378
35,-170,76,0.624819924100956
35,-170,78,0.576595777848789
35,-170,80,0.53247310838656
35,-170,82,0.492200594479604
35,-170,84,0.455535647406166
35,-170,86,0.422245015216219
35,-170,88,0.392104944728022
35,-170,90,0.364900977262154
35,-170,92,0.340427452525803
35,-170,94,0.31848679337838
35,-170,96,0.298888642587172
35,-170,98,0.281448921119849
35,-170,100,0.265988875874323
35,-170,102,0.252334182741779
35,-170,104,0.240314168159179
35,-170,106,0.229761208389931
35,-170,108,0.220510360209312
35,-170,110,0.212399269025092
35,-170,112,0.205268390375107
35,-170,114,0.198961547989889
35,-170,116,0.193326836157233
35,-170,118,0.188217856180329
35,-170,120,0.183495256758645
35,-170,122,0.17902852691099
35,-170,124,0.174697968666445
35,-170,126,0.17039675650016
35,-170,128,0.166032972925114
35,-170,130,0.161531496422973
35,-170,132,0.156835610655026
35,-170,134,0.151908204126018
35,-170,136,0.146732438335183
35,-170,138,0.14131178058769
35,-170,140,0.135669325036003
35,-170,142,0.129846361366867
35,-170,144,0.123900193194076
35,-170,146,0.117901255190231
35,-170,148,0.111929626125867
35,-170,150,0.106071080634717
35,-170,152,0.100412861861505
35,-170,154,0.0950393865202728
35,-170,156,0.0900281101940815
35,-170,158,0.0854457817403162
35,-170,160,0.081345300415597
35,-170,162,0.0777633581503639
35,-170,164,0.0747190040446583
35,-170,166,0.0722132116914205
35,-170,168,0.0702294664988979
35,-170,170,0.0687353246283652
35,-170,172,0.0676848326089556
35,-170,174,0.067021642058009
35,-170,176,0.0666826114822813
35,-170,178,0.066601660067069
35,-170,180,0.0667136285396421
35,-168,0,4.82413308903292
35,-168,2,4.82454663830669
35,-168,4,4.80542825325334
35,-168,6,4.76714114521669
35,-168,8,4.71032059007833
35,-168,10,4.63585430289708
