"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
35,-166,158,0.0826094445855086
35,-166,160,0.0785415707186295
35,-166,162,0.0750794573956291
35,-166,164,0.0722330623321798
35,-166,166,0.0699902134921073
35,-166,168,0.0683182062648651
35,-166,170,0.067166543070174
35,-166,172,0.0664706245753391
35,-166,174,0.0661561406572934
35,-166,176,0.0661438677578219
35,-166,178,0.0663545603333562
35,-166,180,0.0667136285396422
35,-164,0,4.82413308903292
35,-164,2,4.82566401090864
35,-164,4,4.80681309949139
35,-164,6,4.76791175128406
35,-164,8,4.70958944573078
35,-164,10,4.63275361695371
35,-164,12,4.53856245074629
35,-164,14,4.42839182418045
35,-164,16,4.30379778303885
35,-164,18,4.16647605510249
35,-164,20,4.01822012446971
35,-164,22,3.86087934711633
35,-164,24,3.69631847820768
35,-164,26,3.52637981784471
35,-164,28,3.35284897698862
35,-164,30,3.17742503371995
35,-164,32,3.00169560655709
35,-164,34,2.82711713037398
35,-164,36,2.65500039392307
35,-164,38,2.48650119608562
35,-164,40,2.32261580788824
35,-164,42,2.16418079322307
35,-164,44,2.01187664447101
35,-164,46,1.86623462881982
35,-164,48,1.72764621407743
35,-164,50,1.59637444498627
35,-164,52,1.47256666747103
35,-164,54,1.35626804364172
35,-164,56,1.24743535954862
35,-164,58,1.1459506958054
35,-164,60,1.05163460392102
35,-164,62,0.964258504760511
35,-164,64,0.883556096869632
35,-164,66,0.809233628971023
35,-164,68,0.740978950922448
35,-164,70,0.678469309582591
35,-164,72,0.621377899688029
35,-164,74,0.569379214858244
35,-164,76,0.522153270517145
35,-164,78,0.479388789524357
35,-164,80,0.440785453599569
35,-164,82,0.406055330329517
35,-164,84,0.374923587879427
35,-164,86,0.347128608684321
35,-164,88,0.322421610468903
35,-164,90,0.300565878872881
35,-164,92,0.281335711464407
35,-164,94,0.264515168488776
35,-164,96,0.249896721551716
35,-164,98,0.237279887561036
35,-164,100,0.226469931412425
35,-164,102,0.217276716689967
35,-164,104,0.209513778516903
35,-164,106,0.202997686028316
35,-164,108,0.197547753137147
35,-164,110,0.192986144792639
35,-164,112,0.1891384113913
35,-164,114,0.185834466205883
35,-164,116,0.182909999720839
35,-164,118,0.180208300984084
35,-164,120,0.177582430225099
35,-164,122,0.174897660123671
35,-164,124,0.172034076667032
35,-164,126,0.168889206249535
35,-164,128,0.165380515547649
35,-164,130,0.161447616895126
35,-164,132,0.157054006543209
35,-164,134,0.152188168278602
35,-164,136,0.146863891915051
35,-164,138,0.14111968600245
35,-164,140,0.135017206582473
35,-164,142,0.128638677658994
35,-164,144,0.1220833416412
35,-164,146,0.115463045462376
35,-164,148,0.108897135371991
35,-164,150,0.102506894789046
35,-164,152,0.0964098091186298
35,-164,154,0.0907139735271829
35,-164,156,0.0855129699159685
35,-164,158,0.0808815250423438
35,-164,160,0.0768722224498301
35,-164,162,0.0735134785706155
35,-164,164,0.0708089124440613
35,-164,166,0.0687381453713551
35,-164,168,0.0672589693195934
35,-164,170,0.0663107293938593
35,-164,172,0.0658186842750352
35,-164,174,0.0656990460297449
35,-164,176,0.0658643620675577
35,-164,178,0.0662288897827724
35,-164,180,0.0667136285396421
35,-162,0,4.82413308903292
35,-162,2,4.82621481395276
35,-162,4,4.80751734133303
35,-162,6,4.76835785816169
35,-162,8,4.70936422712248
35,-162,10,4.63145453010564
35,-162,12,4.53580910390856
35,-162,14,4.42383634401868
35,-162,16,4.29713374119671
35,-162,18,4.15744572495306
35,-162,20,4.00661991773136
35,-162,22,3.84656335776611
35,-162,24,3.67920013509663
35,-162,26,3.50643171522889
35,-162,28,3.33010101195512
35,-162,30,3.15196102978283
35,-162,32,2.97364864252262
35,-162,34,2.7966638223225
35,-162,36,2.62235439559886
35,-162,38,2.45190618926267
35,-162,40,2.28633824987718
35,-162,42,2.12650267443751
35,-162,44,1.97308848604307
35,-162,46,1.8266289201147
35,-162,48,1.68751145433697
35,-162,50,1.55598991415499
35,-162,52,1.43219801055288
35,-162,54,1.31616371271625
35,-162,56,1.20782391972439
35,-162,58,1.10703896753523
35,-162,60,1.01360658552597
35,-162,62,0.927274996558792
35,-162,64,0.847754932383859
35,-162,66,0.774730409247818
35,-162,68,0.70786817460806
35,-162,70,0.646825793309619
35,-162,72,0.591258389582459
35,-162,74,0.540824099505736
35,-162,76,0.495188317456767
35,-162,78,0.454026840264546
35,-162,80,0.417028025408855
35,-162,82,0.38389408595102
35,-162,84,0.354341646350119
35,-162,86,0.328101681288546
35,-162,88,0.304918955366127
35,-162,90,0.284551076091431
35,-162,92,0.266767266823362
35,-162,94,0.251346960737442
35,-162,96,0.23807831176375
35,-162,98,0.226756713746574
35,-162,100,0.217183414544426
35,-162,102,0.209164306960328
35,-162,104,0.202508972665118
35,-162,106,0.197030047980484
35,-162,108,0.192542970858479
35,-162,110,0.188866156047128
35,-162,112,0.1858216298401
35,-162,114,0.183236136768974
35,-162,116,0.180942708188394
35,-162,118,0.178782657335944
35,-162,120,0.176607937890342
35,-162,122,0.174283774453002
35,-162,124,0.171691445264435
35,-162,126,0.16873107171158
35,-162,128,0.165324247945626
35,-162,130,0.161416329555915
35,-162,132,0.156978195106295
35,-162,134,0.15200730062202
35,-162,136,0.146527866551708
35,-162,138,0.140590070294966
35,-162,140,0.134268164988134
35,-162,142,0.127657505446606
35,-162,144,0.120870532036184
35,-162,146,0.114031838339982
35,-162,148,0.10727252304101
35,-162,150,0.100724093807449
35,-162,152,0.0945122442508581
35,-162,154,0.0887508578648893
35,-162,156,0.0835366002519139
35,-162,158,0.0789444400498019
35,-162,160,0.0750243896203199
35,-162,162,0.0717996815441028
35,-162,164,0.0692665019034433
35,-162,166,0.0673952941641489
35,-162,168,0.0661335376182029
35,-162,170,0.0654098016750405
35,-162,172,0.0651387909439986
35,-162,174,0.0652270334432505
35,-162,176,0.065578830261706
